"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Параметризованный тест, проверяет получение списка заказов, получение 10 заказов для взятия курьером, список заказов по одной станции метро. Проверяем, что код ответа 200, заказы содержится в ответе","2402","Проверка получения списка заказов без id курьера","tests","2026-03-28","passed","2026-03-28","TestOrderList","test_get_order_list","",""
"Проверяет невозможность принятия заказа несуществующим курьером, код ответа 404, message ответа корректен","435","Проверка неуспешного принятия заказа несуществующим курьером","tests","2026-03-28","passed","2026-03-28","TestAcceptOrder","test_accept_order","",""
"Проверяет отсутствие получения информации о заказе,если передан несуществующий трек, код ответа 404, message ответа корректен","469","Проверка невозможности получения информации о заказе с несуществующим треком","tests","2026-03-28","passed","2026-03-28","TestGetOrderTrack","test_get_order_track","",""
"Проверяем, что код ответа 200, id курьера содержится в ответе","520","Проверка успешного логина зарегистрированного курьера","tests","2026-03-28","passed","2026-03-28","TestLoginCourier","test_login_courier","",""
"Параметризованный тест. Проверяем невозможность создания курьера без логина или без пароля, код ответа 400, структура ответа корректна","441","Проверка неуспешного создания курьера без логина или без пароля","tests","2026-03-28","passed","2026-03-28","TestRegistrationNewCourier","test_registration_new_courier","",""
"Параметризованный тест, проверяет логин курьера c ошибкой логина(несуществующий пользователь) и пароля, код ответа 404, message ответа корректен","453","Проверка неуспешного логина курьера с ошибкой в  login или пароле","tests","2026-03-28","passed","2026-03-28","TestLoginCourier","test_login_courier","",""
"Параметризованный тест, проверяет создание заказа черного или серого цвета, двух цветов, без выбора цвета самоката. Проверяем, что код ответа 201, track заказа содержится в ответе","466","Проверка успешного создания заказа","tests","2026-03-28","passed","2026-03-28","TestCreateOrder","test_create_order","",""
"Проверяет невозможность принятия заказа курьером, если id заказа не передан, код ответа 404, message ответа корректен","403","Проверка неуспешного принятия заказа при отсутсвии переданного id заказа","tests","2026-03-28","passed","2026-03-28","TestAcceptOrder","test_accept_order","",""
"Проверяет невозможность принятия заказа курьером, если его id не передан, код ответа 400, message ответа корректен","454","Проверка неуспешного принятия заказа при отсутсвии переданного id курьера","tests","2026-03-28","passed","2026-03-28","TestAcceptOrder","test_accept_order","",""
"Параметризованный тест, проверяет логин курьера c ошибкой логина(несуществующий пользователь) и пароля, код ответа 404, message ответа корректен","448","Проверка неуспешного логина курьера с ошибкой в  login или пароле","tests","2026-03-28","passed","2026-03-28","TestLoginCourier","test_login_courier","",""
"Параметризованный тест, проверяет получение списка заказов, получение 10 заказов для взятия курьером, список заказов по одной станции метро. Проверяем, что код ответа 200, заказы содержится в ответе","12657","Проверка получения списка заказов без id курьера","tests","2026-03-28","passed","2026-03-28","TestOrderList","test_get_order_list","",""
"Проверяет удаление курьера, код ответа 200, структура ответа корректна","622","Проверка успешного удаления курьера","tests","2026-03-28","passed","2026-03-28","TestDeleteCourier","test_delete_courier","",""
"Параметризованный тест. Проверяем невозможность создания курьера без логина или без пароля, код ответа 400, структура ответа корректна","447","Проверка неуспешного создания курьера без логина или без пароля","tests","2026-03-28","passed","2026-03-28","TestRegistrationNewCourier","test_registration_new_courier","",""
"Параметризованный тест, проверяет создание заказа черного или серого цвета, двух цветов, без выбора цвета самоката. Проверяем, что код ответа 201, track заказа содержится в ответе","439","Проверка успешного создания заказа","tests","2026-03-28","passed","2026-03-28","TestCreateOrder","test_create_order","",""
"Проверяет невозможность удалить курьера с несуществующим id, код ответа 404, message ответа корректен","440","Проверка невозможности удаления курьера с несуществующим id","tests","2026-03-28","passed","2026-03-28","TestDeleteCourier","test_delete_courier","",""
"Проверяет получение информации о заказе по треку, код ответа 200, структура ответа корректна","455","Проверка успешного получения информации о заказе по треку","tests","2026-03-28","passed","2026-03-28","TestGetOrderTrack","test_get_order_track","",""
"Параметризованный тест, проверяет логин курьера без login или без пароля, код ответа 400, message ответа корректен","420","Проверка неуспешного логина курьера без login или без пароля","tests","2026-03-28","passed","2026-03-28","TestLoginCourier","test_login_courier","",""
"Параметризованный тест, проверяет получение списка заказов курьера, список заказов курьера по станции метро. Проверяем, что код ответа 200, заказы содержится в ответе","2025","Проверка получения списка заказов по id курьера","tests","2026-03-28","passed","2026-03-28","TestOrderList","test_get_order_list","",""
"Параметризованный тест, проверяет получение списка заказов, получение 10 заказов для взятия курьером, список заказов по одной станции метро. Проверяем, что код ответа 200, заказы содержится в ответе","14828","Проверка получения списка заказов без id курьера","tests","2026-03-28","passed","2026-03-28","TestOrderList","test_get_order_list","",""
"Параметризованный тест, проверяет создание заказа черного или серого цвета, двух цветов, без выбора цвета самоката. Проверяем, что код ответа 201, track заказа содержится в ответе","438","Проверка успешного создания заказа","tests","2026-03-28","passed","2026-03-28","TestCreateOrder","test_create_order","",""
"Проверяет принятие заказа существующим курьером, код ответа 200, структура ответа корректна","526","Проверка успешного принятия заказа курьером","tests","2026-03-28","passed","2026-03-28","TestAcceptOrder","test_accept_order","",""
"Проверяет невозможность принятия несуществующего заказа курьером, код ответа 404, message ответа корректен","445","Проверка неуспешного принятия несуществующего заказа курьером","tests","2026-03-28","passed","2026-03-28","TestAcceptOrder","test_accept_order","",""
"Проверяет отсутствие получения информации о заказе,если не передан его трек, код ответа 400, message ответа корректен","407","Проверка невозможности получения информации о заказе без трека","tests","2026-03-28","passed","2026-03-28","TestGetOrderTrack","test_get_order_track","",""
"Параметризованный тест, проверяет получение списка заказов курьера, список заказов курьера по станции метро. Проверяем, что код ответа 200, заказы содержится в ответе","3208","Проверка получения списка заказов по id курьера","tests","2026-03-28","passed","2026-03-28","TestOrderList","test_get_order_list","",""
"Проверяем, что при создании курьера с уже существующим логином код ответа 409, сообщение об ошибке корректно","444","Проверка неуспешного создания курьера с существующим логином","tests","2026-03-28","passed","2026-03-28","TestRegistrationNewCourier","test_registration_new_courier","",""
"Параметризованный тест, проверяет логин курьера без login или без пароля, код ответа 400, message ответа корректен","468","Проверка неуспешного логина курьера без login или без пароля","tests","2026-03-28","passed","2026-03-28","TestLoginCourier","test_login_courier","",""
"Проверяет невозможность удалить курьера без id, код ответа 404, message ответа корректен","416","Проверка невозможности удаления курьера без id","tests","2026-03-28","passed","2026-03-28","TestDeleteCourier","test_delete_courier","",""
"Проверяем, что курьер создан, код ответа 201, структура ответа корректна","473","Проверка успешного создания курьера","tests","2026-03-28","passed","2026-03-28","TestRegistrationNewCourier","test_registration_new_courier","",""
